neighborhood,address,units,stories,construction,apn,block,lot,last_permit,streetview,recorder_lookup
Central Richmond,2353 Anza St,8,2,wood frame (5),1557035,1557,035,1987-05-08T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.77851373,-122.473565058",https://sfassessor.org/ (search APN 1557035)
Central Richmond,291 18th Av,8,3,wood frame (5),1415009,1415,009,1992-12-31T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782599733,-122.477569296",https://sfassessor.org/ (search APN 1415009)
Central Richmond,305 23rd Av,8,3,wood frame (5),1455001,1455,001,2026-02-12T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781865099,-122.482855412",https://sfassessor.org/ (search APN 1455001)
Central Richmond,306 20th Av,8,3,wood frame (5),1451041,1451,041,2019-06-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782025852,-122.479255404",https://sfassessor.org/ (search APN 1451041)
Central Richmond,355 21st Av,8,3,wood frame (5),1453011,1453,011,2024-05-30T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78116481,-122.480843703",https://sfassessor.org/ (search APN 1453011)
Central Richmond,363 19th Av,8,3,wood frame (5),1451013,1451,013,2023-08-31T12:24:23.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781119357,-122.478686525",https://sfassessor.org/ (search APN 1451013)
Central Richmond,3950 Fulton St,8,3,wood frame (5),1658018,1658,018,1998-07-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773202293,-122.474317664",https://sfassessor.org/ (search APN 1658018)
Central Richmond,400 25th Av,8,3,wood frame (5),1456041,1456,041,2026-05-22T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781781511,-122.484681798",https://sfassessor.org/ (search APN 1456041)
Central Richmond,405 24th Av,8,3,wood frame (5),1456001,1456,001,2026-02-11T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781816104,-122.483925552",https://sfassessor.org/ (search APN 1456001)
Central Richmond,410 23rd Av,8,3,wood frame (5),1522034B,1522,034B,2024-03-05T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779923022,-122.48243416",https://sfassessor.org/ (search APN 1522034B)
Central Richmond,425 22nd Av,8,2,wood frame (5),1522003A,1522,003A,2017-09-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.77965872,-122.481804933",https://sfassessor.org/ (search APN 1522003A)
Central Richmond,4434 Fulton St,8,3,wood frame (5),1663021,1663,021,2024-08-01T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773072867,-122.479455586",https://sfassessor.org/ (search APN 1663021)
Central Richmond,450 25th Av,8,2,wood frame (5),1456032,1456,032,1985-05-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781068951,-122.484478416",https://sfassessor.org/ (search APN 1456032)
Central Richmond,462 22nd Av,8,3,wood frame (5),1523031,1523,031,2023-01-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779006352,-122.481101526",https://sfassessor.org/ (search APN 1523031)
Central Richmond,495 17th Av,8,0,,1527021A,1527,021A,1992-06-09T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.778750623,-122.476184888",https://sfassessor.org/ (search APN 1527021A)
Central Richmond,5029 Geary Bl,8,3,wood frame (5),1530031,1530,031,2018-09-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780305258,-122.473398307",https://sfassessor.org/ (search APN 1530031)
Central Richmond,5245 California St,8,2,wood frame (5),1419041,1419,041,1984-06-12T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784220534,-122.473915671",https://sfassessor.org/ (search APN 1419041)
Central Richmond,5450 California St,8,3,wood frame (5),1376024,1376,024,2023-04-28T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784462046,-122.47618875",https://sfassessor.org/ (search APN 1376024)
Central Richmond,5907 Geary Bl,8,2,wood frame (5),1521001,1521,001,2018-09-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779937711,-122.482839535",https://sfassessor.org/ (search APN 1521001)
Central Richmond,6112 California St,8,2,wood frame (5),1383020,1383,020,2000-10-11T08:39:51.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784203238,-122.483379664",https://sfassessor.org/ (search APN 1383020)
Central Richmond,6200 California St,8,0,,1384009F,1384,009F,1993-06-18T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784061812,-122.484235933",https://sfassessor.org/ (search APN 1384009F)
Central Richmond,701 24th Av,8,3,wood frame (5),1620001,1620,001,2020-09-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.776138317,-122.483565864",https://sfassessor.org/ (search APN 1620001)
Central Richmond,129 18th Av,7,3,wood frame (5),1378004,1378,004,2004-08-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785516546,-122.477932491",https://sfassessor.org/ (search APN 1378004)
