company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Mayo Property,1,2,Noe Valley,531390,Mayo Property,"1700 Diamond St, San Francisco, 94131","1700 Diamond St, San Francisco"
Mcalpin Apartments Lp,1,2,,531110,Mcalpin Apartments LLC,"1717 Powell St Ste 300, San Francisco, 94133","423 Stockton St, San Francisco"
Mcdowell Properties,1,2,,531311,Mcdowell Companies | Mcdowell Properties,"111 Pine St Ste 1850, San Francisco, 94111","111 Pine St Ste 1850, San Francisco"
Mcevoy Properties,1,2,Nob Hill,531110,Mcevoy Properties,"1465 Pine St, San Francisco, 94109","1465 Pine St, San Francisco"
Mckeever Properties A California Gereral Partnership,1,2,,531110,906-916 Hayes St Sf Ca 94117,"P O Box 320367, San Francisco, 94132","906 916 Hayes St, San Francisco"
Mclellan Comm Real Estate Inc,1,2,,531210,"Mclellan Commercial Real Estate, Inc.","Po Box 1015, Ross, 94957","Po Box 1015, Ross"
"Meda Precita Small Properties, LLC",1,2,Mission,531110,"Meda Precita Small Properties, LLC","2301 Mission St 301 Ste, San Francisco, 94110","2301 Mission St Ste 301, San Francisco"
"Meda Small Properties, LLC",1,2,Mission,531110,"Meda Small Properties, LLC","2301 Mission St 301 Ste, San Francisco, 94110","2301 Mission St Ste 301, San Francisco"
Mercermont Management Corp.,1,2,,531311,Mercermont Management Corp.,"3450 Sacramento St # 151, San Francisco, 94118","3516 Sacramento St Ste 1, San Francisco"
"Mercy Housing California 103, Lp",1,2,,531110,"Mercy Housing California 103, Lp","1256 Market St, San Francisco, 94102","1256 Market St, San Francisco"
Mercy Housing California 111 Lp,1,2,,531311,Mercy Housing California 111 Lp,"1256 Market St, San Francisco, 94102","1256 Market St, San Francisco"
Mercy Housing Calwest,1,2,,531110,1064 Mission Homeless Services Center LLC | Mercy Housing California 111 Lp | Transbay 2 Family Commerical LLC,"1256 Market St, San Francisco, 94102","1256 Market St, San Francisco"
Meridian Mgnt Grp Properties,1,2,Nob Hill,531110,Meridian Mgnt Grp Properties,"1145 Bush St, San Francisco, 94109","1145 Bush St, San Francisco"
Merlone Geier Management LLC,1,2,,531312,M & H Property Management LLC,"425 California St Fl 10, San Francisco, 94104","425 California St #11fl, San Francisco"
"Meyer & Meyer Properties, LLC",1,2,,531110,"Meyer & Meyer Properties, LLC","3450 3rd St Ste 1a, San Francisco, 94124","3450 3rd St Ste 1a, San Francisco"
Mhz Properties LLC,1,2,,53,Mhz Properties LLC,"216 Maple St, Susanville, 96130","2754 Pierce St, San Francisco"
Michael Simmons Property Dev.,1,2,,531390,Michael Simmons Property Dev.,"2370 Market St # 458, San Francisco, 94114","425 Fell St, San Francisco"
Midpen Housing Corporation,1,2,,531110,Midpen Housing Corporation,"303 Vintage Park Dr Ste 250, Foster City, 94404","303 Vintage Park Dr Ste 250, Foster City"
Midpen Property Management Corporation,1,2,,531110,Midpen Property Management Corporation,"303 Vintage Park Dr Ste 250, Foster City, 94404","303 Vintage Park Dr Ste 250, Foster City"
Millennium Partners LLC,1,2,,53,Millennium Partners LLC,"1995 Broadway, New York, 10023","1995 Broadway, New York"
Millennium Ptn Ca Pro Mgmt LLC,1,2,,53,Millennium Ptn Ca Pro Mgmt LLC,"1995 Broadway Fl 3, New York, 10023","735 Market St Fl 3, San Francisco"
Miller & Hinkle Property Management,1,2,,53,Miller & Hinkle Property Managent,"2007 W Hedding St Ste 216, San Jose, 95128","2007 W Hedding St Ste 216, San Jose"
Mission Bart Apartments LLC,1,2,Mission,531110,Mission Bart Apartments LLC,"533 Airport Blvd Ste 225, Burlingame, 94010","2834 Mission St, San Francisco"
Mission Plaza Apartments Lp,1,2,Mission,531110,Mission Plaza Apartments | Mission Plaza Apartments - Commercial | Mission Plaza Garage,"601 Van Ness Ave Ste 2000, San Francisco, 94102","2027 Mission St, San Francisco"
Mission Properties Inc,1,2,Mission,531110,Mission Properties Inc,"1911 Mission St, San Francisco, 94103","1911 Mission St, San Francisco"
"Mission Rock Residential California, Inc.",1,2,,531311,N/A,"1355 S Colorado Blvd Ste C-710, Denver, 80222","1355 S Colorado Blvd Ste C710, Denver"
Mitch Cohen Dba Cohen Properties,1,2,Haight Ashbury,531110,Mitch Cohen Dba Cohen Properties,"2443 Fillmore St 380-4277, San Francisco, 94115","1359 Waller St, San Francisco"
