company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Yamagami Dick N,6,3,"Nob Hill, Outer Richmond",531210,1233 9th Avenue | 1314 Polk | 1318 Polk,"1239 9th Ave, San Francisco, 94122","1233 9th Ave, San Francisco | 1314 Polk St, San Francisco | 1318 Polk St, San Francisco"
Dynasty Properties LLC,5,5,,531110,637 Broadway | 637 Broadway St Apts/Bldg | 800-812 Stockton St Apts/Bldg,"466 Green St 302 Ste, San Francisco, 94133","615 Broadway, San Francisco | 637 Broadway St, San Francisco | 641 Broadway St, San Francisco"
Jg Mcnamara Properties LLC,5,5,Mission,531110,Jg Mcnamara Properties LLC | Jg Mcnamara Props LLC,"2388 Post Office Box, La Mesa, 91943","1380 Valencia St # 1384, San Francisco | 1390 Valencia St, San Francisco | 1406 Valencia St, San Francisco"
"Oakwood Stone Apartments, Lp",5,5,Mission,531110,"Oakwood Stone Apartments, Lp","1717 Powell St # 300, San Francisco, 94133","10 Oakwood St, San Francisco | 11 Oakwood St, San Francisco | 1717 Powell St Ste 300, San Franciisco"
"Tmg Partners R.E., LLC",5,5,,531312,Tmg Partners R.E. LLC,"1 Post St Ste 3300, San Francisco, 94104","1 Post St Ste 3300, San Francisco | 149 New Montgomery St, San Francisco | 150 Post St, San Francisco"
Avison Young No California Ltd,5,3,,531210,"Avison Young | Avison Young - Northern California, Ltd.","9550 W Higgins Rd, Rosemont, 60018","388 Market St Ste 1020, San Francisco | 44 Montgomery St 3300, San Francisco | 44 Montgomery St Ste 150, San Francisco"
Baumann John & Baumann Bruce,5,3,Haight Ashbury,531110,Bauman Family Properties Lp | Baumann Family Properties Lp,"Po Box 14635, San Francisco, 94114","1221 Harrison St Rm 22, San Francisco | 175 Clifford Ter, San Francisco | 240 Upper Ter, San Francisco"
Calfox Inc,5,3,,531390,101 Montgomery Bldg | 425 California St | Cahill Equities,"101 Montgomery St Ste 400, San Francisco, 94104","101 Montgomery St #2350, San Francisco | 101 Montgomery St 2350, San Francisco | 101 Montgomery St Ste 2350, San Francisco"
Carl & Alcira Marshall,5,3,Outer Richmond,531110,1711 Lake | 2015 Lincoln Way | 3350 Judah,"Po Box 1090, Millbrae, 94030","1711 Lake St, San Francisco | 2015 Lincoln Way, San Francisco | 3350 Judah St, San Francisco"
Chan David & Pauline,5,3,Inner Richmond,531110,2020 Franklin St | 226 Hugo St Apartment | 3170-3174 Mission St Apts,"272 Shearwater Isle, Foster City, 94404","2020 Franklin St, San Francisco | 226 Hugo St, San Francisco | 3170 Mission St, San Francisco"
Chas J Grisez Co Lp,5,3,,"531110, 531311",Chas J Grisez Co Lp | Chas J. Grisez Co. L.P.,"2430 Chestnut St, San Francisco, 94123","190 Alhambra St, San Francisco | 1900 Beach St, San Francisco | 1945 Jefferson St, San Francisco"
Chin Martin Y,5,3,"Nob Hill, Outer Richmond",531210,Myc Associates | Myc Realty Group,"Po Box P.O. Box 590950, San Francisco, 94159","1259 Polk St, San Francisco | 1405 Bush St, San Francisco | 2501 Judah St, San Francisco"
David Braun,5,3,"Mission, Outer Richmond",531110,165 Julian Ave | 189 Dolores | 199 Dolores,"2681 18th Ave, San Francisco, 94116","149 Julian Ave, San Francisco | 189 Dolores St, San Francisco | 199 Dolores St, San Francisco"
Donald Soohoo,5,3,Inner Richmond,53,832 Clement Street - Malatang Hot Pot | 836 Clement Street Lime Tree Restuarant | 840 Clement Street Heroes Club,"254 10th Ave, San Francisco, 94118","832 Clement Street St, San Francisco | 836 Clement Street St, San Francisco | 840 Clement Street St, San Francisco"
Drake H Corp,5,3,,531312,1200-1208 Market Bldg | 139-149 Powell Bldg | 151/161 Powell Bldg,"244 Kearny St Fl 3, San Francisco, 94108","1200 Market St, San Francisco | 139 Powell St, San Francisco | 151 Powell St, San Francisco"
Govan Legacy LLC,5,3,"Haight Ashbury, Inner Richmond",531110,Dba 396-398 Frederick St | Dba 436 Cole Street | Govan Legacy LLC - 300 2nd Ave,"101 Henry Adams St Ste 315, San Francisco, 94103","300 2nd Ave, San Francisco | 396 -398 Frederick St, San Francisco | 41 - 43 Carl St, San Francisco"
Karp Hyman J & Dorothy,5,3,,53,1122-1128 Taraval Bldg | 1911 Ocean Bldg | 2226 Taraval Bldg,"225 Humboldt Rd, Burlingame, 94010","1122 Taraval St, San Francisco | 1911 Ocean Ave, San Francisco | 2226 Taraval St, San Francisco"
Lieberman Irene,5,3,Nob Hill,531110,1000 Sutter St Rentals | 1424 Gough St Rentals | 1499 Sutter St Rentals,"1499 Sutter St, San Francisco, 94109","1000 Sutter St, San Francisco | 1424 Gough St, San Francisco | 1499 Sutter St, San Francisco"
Litke Edward,5,3,Haight Ashbury,531110,Dolores Operations,"Po Box 885373, San Francisco, 94188","115 Steiner St #119, San Francisco | 2245 Sutter St #2249, San Francisco | 484 Frederick St #488, San Francisco"
Litke Jeffrey E & Chu Stella M,5,3,,531110,Polk Street Partners,"3490 California St Ste 206, San Francisco, 94118","1381 Filbert St, San Francisco | 1383 Filbert St, San Francisco | 2460 Polk St, San Francisco"
Man Lui Lai & Chan Chee Heung,5,3,"Mission, Outer Richmond",531110,16 Waverley Pl Apts | 1833 Filbert St Apartments | 3007 20th St Apts,"355 Panorama Dr, San Francisco, 94131","16 Waverly Pl, San Francisco | 1833 Filbert St, San Francisco | 3007 20th St, San Francisco"
Margaret Huffman,5,3,Mission,531110,1012 Guerrero St | 1148 Guerrero St | 245 Chenery St,"260 Fair Oaks St, San Francisco, 94110","1012 Guerrero St, San Francisco | 1148 Guerrero St, San Francisco | 245 Chenery St, San Francisco"
Maureen Chen,5,3,Outer Richmond,531110,Maureen Chen,"100 Green St, San Francisco, 94111","144 Sanchez St, San Francisco | 205 Collins St, San Francisco | 232 17th Ave, San Francisco"
One Thousand Green Co,5,3,,531110,1000 Green Apts | 1529-1599 Custer Building | 1550-1580 Davidson Bldg,"0000 Undeliverable Mail, San Francisco, 99999","1000 Green St, San Francisco | 131 Quint St, San Francisco | 1529 Custer Ave, San Francisco"
Peter Chin,5,3,,531110,1367 - 1369 Rhode Island | 3632 - 3634 16th St. | 4943 - 4949 17th St.,"4947 17th St, San Francisco, 94117","16th St Apt 4, San Francisco | 17th St Dept 4, San Francisco | 28th Ave Apt 6, San Francisco"
"Ping Yuen, L.P.",5,3,,531110,Central Ping Yuen | Ping Yuen East | Ping Yuen Lp,"615 Grant Ave, San Francisco, 94108","1525 Grant Ave, San Francisco | 655 Pacific Ave, San Francisco | 711 Pacific Ave, San Francisco"
Qiu Qi Hang,5,3,Outer Richmond,531110,Qi Hang Qiu | Qi Hang Qiu Trust | Qiu Qi Hang,"567 Pine St Ste 201, San Francisco, 94108","4196 Mission St, San Francisco | 4516 Mission St, San Francisco | 4520 Mission St, San Francisco"
"Sf5, LLC",5,3,,531110,"Sf5, LLC","626 El Camino Real, San Carlos, 94070","2775 Market St, San Francisco | 520 Geary St, San Francisco | 525 Leavenworth St, San Francisco"
"Sic-Mcm Sf Apt Jv I, LLC",5,3,Nob Hill,531110,1008 Larkin St Apts | 72 Gough St Apts | 750 O'farrell St Apartment-Residential,"Po Box 1258, Portsmouth, 03802","1008 Larkin St, San Francisco | 72 Gough St, San Francisco | 750 O'farrell St, San Francisco"
Side Inc,5,3,,531210,10 Fold Rest Estate | 10fold Real Estate | 12 Doors,"580 4th St, San Francisco, 94107","466 Brannan St, San Francisco | 508 4th St, San Francisco | 580 4th St, San Francisco"
Simon Maha & Dawod Rantisi,5,3,,531110,4701-05 Mission St Building | Colmax Insurance Agency | Kings Nail,"715 El Camino Real Ste 208, San Bruno, 94066","30 Persia Ave, San Francisco | 40 Persia Ave, San Francisco | 4701 Mission St, San Francisco"
Steve & Irma Asti It LLC,5,3,"Haight Ashbury, Mission",531110,816 Ashbury Apts | 825 Ashbury Street | Steve & Irma Asti It LLC,"1806 Balboa St, San Francisco, 94121","149 Castro, San Francisco | 585 Monterey Blvd, San Francisco | 801 Guerrero, San Francisco"
Yee John,5,3,Inner Richmond,531110,14-24 Clement Apts | 280 Euclid Ave | 570 Filbert St Apts,"570 Filbert St, San Francisco, 94133","14 Clement St, San Francisco | 1767 Stockton St, San Francisco | 280 Euclid Ave, San Francisco"
Bay Properties Inc,4,5,Nob Hill,53,"1440 Jones St | Bay Properties, Inc | Bay Properties, Inc.","Po Box 231, San Mateo, 94401","1440 Jones St, San Francisco | 2330 Polk St, San Francisco | 429 Castro St, San Francisco"
"Broadway Properties, LLC",4,5,Nob Hill,531110,"1330-1342 Polk St. | Broadway Properties, LLC | Broadway Properties,LLC","765 Market St Apt 34h, San Francisco, 94103","1280 10th Ave, San Francisco | 1330 Polk St Apt, San Francisco | 2241 Chestnut St, San Francisco"
David Parker Properties LLC,4,5,"Haight Ashbury, Mission",531110,1060 Cole | 422 Lyon Street | David Parker Properties LLC,"4247 18th St, San Francisco, 94114","1018 Cortland Ave, San Francisco | 1060 Cole St, San  Francisco | 2841 Harrison St, San Francisco"
Extra Space Management Inc,4,5,Mission,531312,Extra Space Management Inc | Extra Space Storage | Extra Space Storage #1368,"2795 E Cottonwood Ste, Salt Lake City, 84121","1400 Folsom St, San Francisco | 1700 Egbert Ave, San Francisco | 190 Otis St, San Francisco"
Hoffman Sf Properties LLC,4,5,"Inner Richmond, Outer Richmond",531110,Hoffman Sf Properties LLC,"10 Crystal Springs Rd 1210, San Mateo, 94402","1365 10th Ave, San Francisco | 1700 Anza St, San Francisco | 2715 Cabrillo St, San Francisco"
Keystone Group,4,5,,531390,Keystone Group | Keystone Group LLC,"1401 21st St Ste R, Sacramento, 95811","1233 Folsom St, San Francisco | 1237 Folsom St, San Francisco | 2135 Market St, San Francisco"
Leon Wong Company Inc,4,5,,531110,3910 Sacramento St Apts | 544-548 Green St Apts | 548 Green St Commercial Unit,"749 Filbert St, San Francisco, 94133","3910 Sacrament0 St, San Francisco | 544 Green St, San Francisco | 548 Green St, San Francisco"
Magnolia Properties Inc,4,5,,531110,2940 Fillmore Street Apartments | 3360 Octavia St Apartments | 3775 Fillmore St Apartments,"Po Box 470065, San Francisco, 94147","2940 Fillmore St Bldg, San Francisco | 3360 Octavia St, San Francisco | 3775 Fillmore St, San Francisco"
Mckeever Properties A California General Partnership,4,5,Mission,531110,10 Gardenside Dr San Francisco | 1201 Dolores San Francisco | 1955 Jefferson St San Francisco,"Po Box 320367, San Francisco, 94132","10 Gardenside Dr, San Francisco | 1201 Dolores St, San Francisco | 1955 Jefferson St, San Francisco"
Meier Vidovich Partners,4,5,,531110,Bluxome Place Apartments | John Vidovich | Kathy Tomaino,"960 N San Antonio Rd Ste 114, Los Altos, 94022","1 Bluxome Pl, San Francisco | 1 Bluxome St, San Francisco | 650 4th St, San Francisco"
"Mhdc South Park Properties, L.P.",4,5,Mission,53,"Mhdc South Park Properties Lp | Mhdc South Park Properties, L.P.","474 Valencia St 280 Ste, San Francisco, 94103","102 S Park St, San Francisco | 106 S Park St, San Francisco | 22 S Park St, San Francisco"
Millennium Partners Mgmt LLC,4,5,,53,Millennium Partners Marketing | Millennium Partners Mgmt | Millennum Partners Mgmt,"1995 Broadway Fl 3, New York, 10023","1425 Brickell Ave, Miami | 1995 Broadway Fl 3, New York | 2 Avery St, Boston"
Morley Fredericks Real Estate Inc.,4,5,,531311,Morley Fredericks Real Estate Inc.,"1414 4th St Ste 200b, San Rafael, 94901","124 Waverly Pl, San Francisco | 225 Ellis St, San Francisco | 686 Broadway, San Francisco"
Rupert Pupkin Properties,4,5,Mission,531110,Rupert Pupkin Properties,"2953 Fillmore St, San Francisco, 94123","1151 -61 South Van Ness, San Francisco | 1715 -17 Mcallister St, San Francisco | 316 Valencia St, San Francisco"
Sams Management Co. Lp,4,5,Mission,531110,1159 Howard Street | 1169 Howard Street | 2625 Franklin Street,"2354 Pine St, San Francisco, 94115","1159 Howard St, San Francisco | 1169 Howard St, San Francisco | 2625 Franklin St, San Francisco"
"Sares Regis Management Co., Lp",4,5,Nob Hill,531311,333 Fremont | Etta | Strata At Mission Bay,"3501 Jamboree Rd 3000, Newport Beach, 92660","1155 4th St, San Francisco | 1201 4th St, San Francisco | 1285 Sutter St, San Francisco"
"Sf Apartments Trs, LLC",4,5,"Haight Ashbury, Nob Hill",531110,"Broderick 900 Owner, Lp | Mission 5519 Owner, Lp | Post 798 Owner, Lp","1258 Po Box, Portsmouth, 03802","1585 Waller St, San Francisco | 5519 Mission St, San Francisco | 798 Post St, San Francisco"
Transwestern Property Company West LLC,4,5,,531210,Transwestern | Transwestern Real Estate Services | Trs,"11720 Katy Freeway Fwy Ste 400, Houston, 77079","123 Mission St, San Francisco | 475 Brannan St, San Francisco | 49 Geary St, San Francisco"
Vanguard Properties Inc,4,5,Mission,531210,Dba  Vanguard Properties - Larkspur | Dba Vanguard Commercial | Dba Vanguard Properties - Castro,"2501 Mission St, San Francisco, 94110","1801 Fillmore St, San Francisco | 199 New Montgomery St Stop F, San Francisco | 2501 Mission St, San Francisco"
Vic Strategic Multifamily Partners Lp,4,5,Mission,531110,1019 Golden Gate I1 Lp | 2385 Folsom I1 Lp | 3605 20th I1 Lp,"Po Box 1258, Portsmouth, 03802","1819 Golden Gate Ave, San Francisco | 2385 Folsom St, San Francisco | 268 Bush St # 1688, San Francisco"
27th Avenue & Mission LLC,4,3,Outer Richmond,53,222 27th Avenue Apt Bldg | 4567 Mission St Commercial Bldg | A & 8 Salon,"5429b Geary Blvd, San Francisco, 94121","222 27th Ave, San Francisco | 4567 Mission St, San Francisco | 4569 Mission St, San Francisco"
A Ramazzotti Plumbing Inc,4,3,,"531311, 531312",1465 Vallejo St Apts | 1467 Vallejo Street Commercial | 1475 Vallejo St Apts,"100 Walnut Ave, Corte Madera, 94925","1465 Vallej0 St, San Francisco | 1467 Vallejo St, San Francisco | 1473 Vallejo St, San Francisco"
"Aibi, Inc",4,3,,531110,86 29th Street | 94 29th Street | Aibi Inc (96 29th Street),"Po Box 591016, San Francisco, 94159","695 San Jose Ave, San Francisco | 88 29th St, San Francisco | 92 29th St, San Francisco"
Braby Edward Paul Dr,4,3,,531110,1495 Golden Gate Apartments | 181 Franklin St Bldg | 1970 15th St Apts,"Po Box 14128, San Francisco, 94114","1495 Golden Gate Ave, San Francisco | 181 Franklin St, San Francisco | 1970 15th St, San Francisco"
Buckhart Norman C Et Al,4,3,,531110,California Street Complex | Stanford Apartments,"1717 Powell St Ste 300, San Francisco, 94133","3149 California St, San Francisco | 3151 California St, San Francisco | 3165 California St, San Francisco"
Carpeneti Richard,4,3,"Nob Hill, Noe Valley",531110,1747 Mcallister St Apts | 640-646 Douglass Apts | Carpeneti & Carpeneti,"2443 Fillmore St # 271, San Francisco, 94115","1747 Mcallister St, San Francisco | 640 Douglass St #646, San Francisco | 640 Douglass St, San Francisco"
Carrico Tim,4,3,Haight Ashbury,531110,1000 Oak St Apts | 1366 Haight St Apts | 1387 Hayes St Apts,"714 Van Ness Ave, San Francisco, 94102","1000 Oak St, San Francisco | 1366 Haight St, San Francisco | 1387 Hayes St, San Francisco"
Chin James & Linda,4,3,"Nob Hill, Outer Richmond",531110,1324 Pine St Apt | 1657 Clement St Apt | 740-742 Commercial St Apts,"2191 31st Ave, San Francisco, 94116","1324 Pine St, San Francisco | 1657 Clement St, San Francisco | 740 Commercial St, San Francisco"
Chong Hing Co Inc,4,3,,531311,740 Jackson St Apts | 740/742 Jackson Bldg | 742 Jackson Rentals,"740 Jackson St, San Francisco, 94133","740 Jackson St, San Francisco | 742 Jackson St, San Francisco | 848 Grant Ave, San Francisco"
Chung Burk H & Mary,4,3,,531110,848-852 Jackson St Building | 850-52 Jackson St Apartment | 868 Clay St Building,"870b Taraval St, San Francisco, 94116","848 Jackson St, San Francisco | 850 Jackson St, San Francisco | 868 Clay St, San Francisco"
Clever Heidi Clever Alex Tr,4,3,Noe Valley,531110,104-108 Ord Street Apts | 3834-3842 Sacramento St Apts | 43 Worth St Bldg,"Po Box 591540, San Francisco, 94159","104 Ord St, San Francisco | 3834 Sacramento St, San Francisco | 43 Worth St, San Francisco"
Cpi/Ballast Sf II Venture LLC,4,3,,531311,15 & 27 Alhambra Street Owner Lp | 2028 Scott Street Owner Lp | 2153 Sacramento Street Owner Lp,"351 California St Fl 14, San Francisco, 94104","15 Alhambra St, San Francisco | 2028 Scott St, San Francisco | 2153 Sacramento St, San Francisco"
Danny Zheng,4,3,Inner Richmond,53,Fame Hair Design | Harvest Wheat Field Bakery | Irving Seafood Market,"1546 Anza St, San Francisco, 94118","2227 Irving St, San Francisco | 431 -433 Clement St, San Francisco | 612 Clement St, San Francisco"
Davis Njb Sf LLC,4,3,Outer Richmond,531390,Davis Njb Sf LLC,"715 Southpoint Blvd # G-1, Petaluma, 94954","5000 -20 Geary Blvd # 20, San Francisco | 5024 -28 Geary Blvd #, San Francisco | 5030 -503 Geary Blvd #, San Francisco"
Elliott Molly J,4,3,Noe Valley,53,123 Sanchez St Apts | 125 Sanchez St Apts | 30 Grand View Ave Apts,"495 Grand View Ave Apt 12, San Francisco, 94114","123 Sanchez St, San Francisco | 125 Sanchez St, San Francisco | 30 Grand View Ave, San Francisco"
Erpen Gustav & Betty,4,3,Noe Valley,531110,2323 Van Ness Av Apts | 2325 Van Ness Apts | 2327 Van Ness Apartments,"940 Hayne Rd, Hillsborough, 94010","2323 Van Ness Ave, San Francisco | 2325 Van Ness Ave, San Francisco | 2327 Van Ness Ave, San Francisco"
Fain Alexander,4,3,"Haight Ashbury, Inner Richmond",53,203-205 4th Avenue | 301 Cornwall Street | 319-323 Willard North,"1588 Fulton St, San Francisco, 94117","203 4th Ave #205, San Francisco | 219-323 Willard North, San Francisco | 301 Cornwall St, San Francisco"
Faziola Richard J & Hilda,4,3,Inner Richmond,531110,Faziolas Apts,"532 Huron Ave, San Francisco, 94112","11 Naglee Ave, San Francisco | 267 11th Ave, San Francisco | 35 Naglee St, San Francisco"
First Development Corporation,4,3,,531312,1019 Stockton St Bldg | 1019-1027 Stockton Apartments | 233-241 Sansome St Building,"233 Sansome St Ste 1088, San Francisco, 94104","1019 Stockton St, San Francisco | 233 Sansome St, San Francisco | 4 Columbus Ave, San Francisco"
Fukuda & Michisukk Etal,4,3,Noe Valley,531110,2506 Polk St Apartments | 4236-4242 25th St Apartments | 643-647 Castro St,"587 Castro St, San Francisco, 94114","1084 Noe St #88, San Francisco | 2506 Polk St, San Francisco | 4236 25th St, San Francisco"
Giampaolo Boschetti,4,3,Mission,531110,Giampaolo Boschetti | Paul Boschetti,"955 Prague St, San Francisco, 94112","1286 Guerrero St, San Francisco | 1637 Pierce St, San Francisco | 1901 Taylor St, San Francisco"
Golden Century Lp,4,3,,531110,1180 Filbert Street Apartments | 1440 Clay St Apts | 2045 California Street Apartments,"Po Box 641041, San Francisco, 94164","1180 Filbert St, San Francisco | 1440 Clay St, San Francisco | 2045 California St, San Francisco"
Golden Gateway Center Spe,4,3,,531110,The Gateway | The Gateway - Vista North | The Gateway - Vista South,"460 Davis Ct, San Francisco, 94111","155 Jackson St, San Francisco | 405 Davis Ct, San Francisco | 460 Davis Ct, San Francisco"
Guerrero Espinoza,4,3,Mission,531110,3331-3339 17th St | 3460-3464 18th St | 5598 Mission St,"3 Pisa Ct, South San Francisco, 94080","17th St, San Francisco | 18th St, San Francisco | 5598 Mission St, San Francisco"
